accepted_date,year,period,before_publication_close_price,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,pe,eps,ebitda_margin,ev_ebitda,netincome_ratio,debt_to_equity,current_ratio,quick_ratio,roe,roa,free_cash_flow_yield,positive_score,neutral_score,negative_score
2021-04-29,2021,Q1,173.565506,173.371002,169.324493,159.524506,161.589996,108518000000,62403000000,8865000000,8107000000,121408000000,201669000000,115404000000,201669000000,103320000000,4213000000,-12082000000,216.9569,0.8,0.1509,116.1077,0.0747,0.8221,1.0520,0.8454,0.0785,0.0251,-0.0044,11,62,25
2021-07-29,2021,Q2,179.996002,166.379501,166.574005,167.093506,160.061005,113080000000,64176000000,7702000000,7778000000,140848000000,219471000000,117792000000,219471000000,114803000000,12715000000,-14288000000,233.7610,0.77,0.1392,126.3706,0.0688,0.9283,1.1957,0.9910,0.0678,0.0216,-0.0009,12,61,26
2021-10-28,2021,Q3,172.328506,168.621506,165.905502,174.449005,177.449997,110812000000,62930000000,4852000000,3156000000,138531000000,243875000000,123994000000,243875000000,120564000000,7313000000,-15748000000,555.8984,0.31,0.1245,137.5552,0.0285,0.9448,1.1172,0.8678,0.0262,0.0083,-0.0048,11,61,26
2022-02-03,2021,Q4,138.845505,157.639496,157.935501,155.167007,151.358002,137412000000,82835000000,3460000000,14323000000,161580000000,258969000000,142266000000,258969000000,138245000000,22086000000,-18935000000,98.4720,1.41,0.0975,118.2918,0.1042,0.8419,1.1358,0.9063,0.1036,0.0341,0.0022,7,76,15
2022-04-28,2022,Q1,144.596497,124.281502,124.500000,108.789001,107.112503,116444000000,66499000000,3859000000,-3844000000,133876000000,276891000000,139508000000,276891000000,134001000000,-2790000000,-14951000000,-380.5171,-0.38,0.1121,123.5357,-0.0330,0.8454,0.9596,0.7088,-0.0287,-0.0094,-0.0121,9,61,28
2022-07-28,2022,Q2,122.279999,134.949997,135.389999,139.410004,142.100006,121234000000,66424000000,3317000000,-2028000000,133667000000,286061000000,140291000000,286061000000,131402000000,8965000000,-15724000000,-611.4000,-0.2,0.1075,107.5711,-0.0167,0.9481,0.9528,0.6808,-0.0154,-0.0048,-0.0055,10,62,27
2022-10-27,2022,Q3,110.959999,103.410004,102.440002,90.529999,97.120003,127101000000,70268000000,2525000000,2872000000,131463000000,296899000000,140363000000,296899000000,137489000000,11404000000,-16378000000,396.2857,0.28,0.1001,102.2335,0.0226,0.9328,0.9366,0.6755,0.0209,0.0067,-0.0044,10,61,27
2023-02-02,2022,Q4,112.910004,103.389999,102.180000,99.540001,95.820000,149204000000,85640000000,2737000000,278000000,146791000000,315884000000,155393000000,315884000000,146043000000,29173000000,-16592000000,4151.1031,0.0272,0.1064,113.7822,0.0019,0.9594,0.9446,0.7232,0.0019,0.0006,0.0078,8,75,16
2023-04-27,2023,Q1,109.820000,105.449997,102.050003,105.830002,115.500000,127358000000,67791000000,4954000000,3172000000,136221000000,328157000000,147570000000,328157000000,154526000000,4788000000,-14207000000,354.2581,0.31,0.1262,81.8779,0.0249,0.9147,0.9231,0.6915,0.0205,0.0068,-0.0084,10,61,27
2023-08-03,2023,Q2,128.910004,139.570007,142.220001,140.570007,135.520004,134383000000,69373000000,7681000000,6750000000,140482000000,337125000000,148238000000,337125000000,168602000000,16476000000,-11455000000,195.3182,0.66,0.1434,79.2488,0.0502,0.8239,0.9477,0.7009,0.0400,0.0141,0.0038,10,61,27
2023-10-26,2023,Q3,119.570000,127.739998,132.710007,139.740005,143.199997,143083000000,75022000000,11188000000,9879000000,142995000000,343888000000,145214000000,343888000000,182973000000,21217000000,-12479000000,124.5521,0.96,0.0782,126.9928,0.0690,0.7487,0.9847,0.7409,0.0540,0.0203,0.0071,11,61,27
