accepted_date,year,period,before_publication_close_price,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,pe,eps,ebitda_margin,ev_ebitda,netincome_ratio,debt_to_equity,current_ratio,quick_ratio,roe,roa,free_cash_flow_yield,positive_score,neutral_score,negative_score
2004-10-22,2004,Q3,1.730000,1.698500,1.691500,1.812000,1.941500,1462475000,1307168000,81274000,54147000,1692784000,415884000,1051023000,415884000,-721077000,116645000,-28722000,266.1538,0.0065,0.0724,156.8711,0.0370,-2.4715,1.6106,1.2706,-0.0751,0.0257,0.0062,14,58,26
2005-03-11,2004,Q4,1.745500,1.737500,1.730000,1.683500,1.713500,2540959000,2273768000,162442000,346688000,2539396000,709112000,1620400000,709112000,-227211000,557567000,-36755000,41.0706,0.0425,0.0777,88.2760,0.1364,-8.1761,1.5671,1.2209,-1.5258,0.1067,0.0365,7,78,14
2005-04-27,2005,Q1,1.586000,1.626000,1.618000,1.726000,1.736500,1902000000,1702000000,108000000,52000000,1793000000,679000000,1073000000,679000000,-162000000,-294000000,-26000000,166.9474,0.0095,0.0834,95.2156,0.0273,-9.6481,1.6710,1.2321,-0.3210,0.0210,-0.0246,15,57,27
2005-07-27,2005,Q2,2.182500,2.284000,2.257500,2.263500,2.213500,1753000000,1567000000,104000000,52000000,1926000000,675000000,1144000000,675000000,-64000000,244000000,-46000000,335.7692,0.0065,0.0793,144.5910,0.0297,-23.8906,1.6836,1.2937,-0.8125,0.0200,0.0110,14,57,28
2005-10-26,2005,Q3,1.987500,1.953000,1.947500,2.054500,2.222500,1858000000,1687000000,55000000,30000000,2121000000,711000000,1313000000,711000000,6000000,153000000,-76000000,567.8571,0.0035,0.0554,180.0655,0.0161,255.0000,1.6154,1.2239,5.0000,0.0106,0.0047,14,58,27
2006-02-17,2005,Q4,1.957500,1.959500,1.914500,1.872000,1.806000,2977000000,2692000000,165000000,173000000,2929000000,767000000,1929000000,767000000,246000000,630000000,-55000000,81.5625,0.024,0.0736,85.7591,0.0581,6.1829,1.5184,1.1788,0.7033,0.0468,0.0354,7,78,13
2006-04-27,2006,Q1,1.789500,1.787000,1.760500,1.752000,1.638000,2279000000,2071000000,106000000,51000000,2186000000,804000000,1407000000,804000000,324000000,-303000000,-46000000,298.2500,0.006,0.0689,106.3085,0.0224,3.8858,1.5537,1.1102,0.1574,0.0171,-0.0234,14,57,28
2006-07-27,2006,Q2,1.313000,1.328000,1.358500,1.364500,1.388500,2139000000,1986000000,47000000,22000000,2231000000,934000000,1458000000,934000000,383000000,130000000,-58000000,525.2000,0.0025,0.0496,122.4875,0.0103,3.4569,1.5302,1.1276,0.0574,0.0070,0.0066,13,58,28
2006-10-26,2006,Q3,1.884000,1.915000,1.912000,1.873000,2.075500,2307000000,2147000000,40000000,19000000,2315000000,953000000,1768000000,953000000,196000000,130000000,-62000000,753.6000,0.0025,0.0529,145.1603,0.0082,6.6531,1.3094,0.8484,0.0969,0.0058,0.0043,13,59,27
2007-02-16,2006,Q4,2.016500,2.075500,2.063000,1.957000,1.942000,3986000000,3651000000,197000000,97000000,3373000000,990000000,2532000000,990000000,431000000,744000000,-50000000,168.0417,0.012,0.0670,70.9561,0.0243,2.9397,1.3321,0.9550,0.2251,0.0222,0.0417,7,79,12
2007-04-26,2007,Q1,2.840500,3.139000,3.130000,3.161500,3.029000,3015000000,2742000000,145000000,111000000,2600000000,1061000000,1847000000,1061000000,353000000,-279000000,-34000000,210.4074,0.0135,0.0750,112.4103,0.0368,3.5439,1.4077,0.9626,0.3144,0.0303,-0.0134,12,61,26
