filling_date,year,period,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,positive_score,neutral_score,negative_score
2003-02-19,2002,Q4,1.068000,1.089000,1.082000,1.121000,1428610000,1269058000,70523000,2651000,1615676000,374773000,1065958000,374773000,-1352814000,372579000,-15516000,11,69,18
2003-04-25,2003,Q1,1.455500,1.455500,1.471500,1.548000,1083559000,966770000,39225000,-10121000,1344496000,361437000,698579000,361437000,-1289064000,-251782000,-6394000,13,59,27
2003-07-24,2003,Q2,2.080000,2.104000,2.082000,1.950500,1099912000,985574000,41823000,-43314000,1251254000,345600000,769384000,345600000,-1246836000,126024000,-7141000,12,59,27
2003-10-24,2003,Q3,2.741000,2.741000,2.721500,2.715500,1134456000,1009467000,51931000,15563000,1410200000,339485000,826750000,339485000,-1158034000,36817000,-15192000,12,60,27
2004-02-25,2003,Q4,2.182500,2.150500,2.158500,2.077500,1945772000,1729561000,137616000,73154000,1820809000,341224000,1252701000,341224000,-1036107000,480963000,-17236000,6,79,13
2004-04-23,2004,Q1,2.362500,2.362500,2.180000,2.095000,1530349000,1352296000,110435000,111136000,1405574000,332987000,865911000,332987000,-905050000,-250688000,-9513000,13,59,27
2004-07-23,2004,Q2,1.939000,1.939000,1.946000,1.774500,1387341000,1227487000,86274000,76480000,1561192000,326918000,916354000,326918000,-790858000,143036000,-14143000,12,59,27
2004-10-22,2004,Q3,1.698500,1.698500,1.706500,1.828000,1462475000,1307168000,81274000,54147000,1692784000,415884000,1051023000,415884000,-721077000,116645000,-28722000,14,58,26
2005-03-11,2004,Q4,1.730000,1.730000,1.708000,1.669500,2540959000,2273768000,162442000,346688000,2539396000,709112000,1620400000,709112000,-227211000,557567000,-36755000,7,78,14
2005-04-28,2005,Q1,1.618000,1.655000,1.698000,1.692500,1902000000,1702000000,108000000,52000000,1793000000,679000000,1073000000,679000000,-162000000,-294000000,-26000000,15,57,27
2005-07-28,2005,Q2,2.257500,2.246500,2.273000,2.260500,1753000000,1567000000,104000000,52000000,1926000000,675000000,1144000000,675000000,-64000000,244000000,-46000000,14,57,28
2005-10-27,2005,Q3,1.947500,1.993000,2.078000,2.109000,1858000000,1687000000,55000000,30000000,2121000000,711000000,1313000000,711000000,6000000,153000000,-76000000,14,58,27
2006-02-17,2005,Q4,1.914500,1.914500,1.917500,1.860500,2977000000,2692000000,165000000,173000000,2929000000,767000000,1929000000,767000000,246000000,630000000,-55000000,7,78,13
2006-04-27,2006,Q1,1.760500,1.729500,1.723500,1.676500,2279000000,2071000000,106000000,51000000,2186000000,804000000,1407000000,804000000,324000000,-303000000,-46000000,14,57,28
